Job title,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Information Architect,50%,231,2053,0.1125182659522649,Data & IT
Clinic Manager,50%,182,1782,0.1021324354657687,Medical & Healthcare
Tax Auditor,50%,185,1867,0.0990894483128012,Administrative & Clerical
Business Associate,50%,229,2087,0.1097268806899856,Administrative & Clerical
Travel Rn,50%,28,197,0.1421319796954314,Medical & Healthcare
Business Process Manager,50%,671,2162,0.3103607770582793,Leadership & Strategy
Statistician,50%,165,1537,0.1073519843851659,Data & IT
Digital Account Executive,50%,743,2770,0.2682310469314079,Sales & Marketing
Inside Sales Executive,50%,564,1855,0.3040431266846361,Sales & Marketing
Medical Sales Representative,50%,530,1676,0.3162291169451074,Sales & Marketing
Outside Sales Rep,50%,210,1948,0.1078028747433264,Sales & Marketing
Outside Sales Representative,50%,211,1949,0.1082606464853771,Sales & Marketing
Pre Sales Consultant,50%,208,1948,0.1067761806981519,Sales & Marketing
Regional Sales Representative,50%,216,1967,0.1098118962887646,Sales & Marketing
Sales Account Manager,50%,212,1950,0.1087179487179487,Sales & Marketing
Sales Analyst,50%,212,1978,0.1071789686552072,Sales & Marketing
Sales Executive,50%,207,1933,0.107087428867046,Sales & Marketing
Sales Marketing,50%,211,2001,0.1054472763618191,Sales & Marketing
Sales Support Specialist,50%,211,1966,0.1073245167853509,Sales & Marketing
Agency Nurse,50%,333,1214,0.2742998352553542,Medical & Healthcare
Er Nurse,50%,318,1122,0.2834224598930481,Medical & Healthcare
Nurse Rn,50%,384,1421,0.2702322308233638,Medical & Healthcare
Nursing Assistant,50%,34,219,0.1552511415525114,Medical & Healthcare
Spanish Interpreter,50%,122,1051,0.1160799238820171,Communication & PR
Cad Engineer,50%,547,2314,0.2363872082973206,Construction
Hardware Engineer,50%,465,1829,0.2542372881355932,Construction
Restaurant Host,50%,36,300,0.12,Hospitality
Child Life Specialist,50%,452,1561,0.2895579756566304,Medical & Healthcare
Early Intervention Specialist,50%,418,1440,0.2902777777777778,Medical & Healthcare
Interior Decorator,50%,408,1792,0.2276785714285714,Construction
Criminal Analyst,50%,470,1602,0.2933832709113608,Law Enforcement
Evidence Technician,50%,380,1370,0.2773722627737226,Law Enforcement
Loss Prevention Investigator,50%,390,1376,0.2834302325581395,Law Enforcement
Private Investigator,49%,63,395,0.1594936708860759,Law Enforcement
Safety Supervisor,48%,160,1652,0.0968523002421307,Law Enforcement
Security Coordinator,48%,148,1607,0.0920970752955818,Law Enforcement
Automotive Service Technician,48%,166,722,0.2299168975069252,Construction
Broadband Technician,48%,391,1695,0.2306784660766961,Construction
Computer Systems Analyst,48%,549,2019,0.2719167904903417,Data & IT
Control Engineer,48%,473,1839,0.2572050027188689,Construction
Embedded Engineer,48%,477,1899,0.2511848341232227,Construction
Help Desk Administrator,48%,599,2279,0.2628345765686705,Data & IT
Help Desk Analyst,48%,603,2284,0.2640105078809107,Data & IT
Integration Developer,48%,503,1957,0.257026060296372,Data & IT
It Recruiter,47%,489,1602,0.3052434456928839,Data & IT
Junior Web Developer,47%,526,2020,0.2603960396039604,Data & IT
Linux Administrator,46%,483,1856,0.2602370689655172,Data & IT
Middleware Engineer,46%,488,1923,0.2537701508060322,Data & IT
Network Security Analyst,45%,591,2171,0.2722247812068171,Data & IT
Operations Engineer,45%,186,1833,0.1014729950900163,Construction
Sas Analyst,45%,173,1731,0.0999422299248989,Data & IT
Sas Programmer,45%,177,1743,0.1015490533562822,Data & IT
Senior Systems Administrator,45%,186,1836,0.1013071895424836,Data & IT
Sharepoint Developer,45%,174,1779,0.0978077571669477,Data & IT
Technical Support,45%,204,2014,0.1012909632571996,Data & IT
Technical Support Agent,45%,204,2014,0.1012909632571996,Data & IT
Technical Support Representative,45%,204,2014,0.1012909632571996,Data & IT
Technology Specialist,45%,199,1930,0.1031088082901554,Data & IT
Virtualization Engineer,45%,168,1752,0.0958904109589041,Data & IT
Wireless Consultant,45%,189,1866,0.1012861736334405,Data & IT
Financial Planning Analyst,45%,640,2256,0.2836879432624113,Administrative & Clerical
Kyc Analyst,45%,545,1794,0.3037904124860646,Administrative & Clerical
Product Analyst,45%,212,1922,0.1103017689906347,Sales & Marketing
Research Technician,45%,188,1803,0.1042706600110926,Data & IT
Sap Analyst,45%,177,1751,0.1010850942318675,Data & IT
Clinical Data Manager,45%,739,2535,0.2915187376725838,Medical & Healthcare
Enterprise Data Architect,45%,560,2069,0.2706621556307395,Data & IT
Junior Data Analyst,45%,699,2417,0.289201489449731,Data & IT
Oracle Database Administrator,45%,184,1823,0.1009325287986834,Data & IT
Senior Data Analyst,45%,198,1846,0.1072589382448537,Data & IT
Windows Server Administrator,45%,183,1795,0.1019498607242339,Data & IT
Digital Designer,45%,765,2778,0.275377969762419,Data & IT
Visual Designer,45%,182,1753,0.1038220193953223,Data & IT
Recruiter,45%,222,2034,0.1091445427728613,Leadership & Strategy
Recruitment Specialist,45%,219,2009,0.1090094574415131,Leadership & Strategy
Senior Recruiter,45%,217,2002,0.1083916083916083,Leadership & Strategy
Paralegal Assistant,45%,192,1856,0.1034482758620689,Law Enforcement
Patent Paralegal,45%,189,1813,0.1042471042471042,Law Enforcement
Personal Injury Paralegal,45%,183,1731,0.1057192374350086,Law Enforcement
Trademark Paralegal,45%,192,1837,0.1045182362547632,Law Enforcement
Healthcare Analyst,45%,623,1952,0.3191598360655737,Medical & Healthcare
Medical Administrator,45%,521,1676,0.3108591885441527,Medical & Healthcare
Medical Office Administrator,45%,544,1812,0.3002207505518763,Medical & Healthcare
Medical Records Clerk,45%,569,1830,0.3109289617486339,Medical & Healthcare
Medical Records Technician,45%,568,1830,0.3103825136612022,Medical & Healthcare
Pharmacy Clerk,45%,66,433,0.1524249422632794,Medical & Healthcare
Buyer,45%,607,2062,0.2943743937924345,Supply Chain & Logistics
Export Coordinator,45%,557,1750,0.3182857142857143,Supply Chain & Logistics
Inventory Controller,45%,550,1699,0.3237198351971748,Supply Chain & Logistics
Inventory Coordinator,45%,546,1664,0.328125,Supply Chain & Logistics
Logistics Associate,45%,518,1647,0.3145112325440194,Supply Chain & Logistics
Shipping Supervisor,45%,191,1812,0.1054083885209713,Supply Chain & Logistics
Assistant Account Executive,45%,677,2220,0.3049549549549549,Sales & Marketing
Associate Editor,45%,717,2474,0.2898140662894098,Communication & PR
Broadcast Technician,45%,625,2565,0.2436647173489278,Data & IT
Content Editor,45%,838,3084,0.2717250324254215,Communication & PR
Transcriptionist,45%,187,1764,0.1060090702947845,Communication & PR
Qa Engineer,45%,169,1722,0.0981416957026713,Data & IT
Warehouse Packer,45%,113,1239,0.0912025827280064,Supply Chain & Logistics
Warehouse Picker,45%,114,1242,0.0917874396135265,Supply Chain & Logistics
Warehouse Selector,45%,114,1242,0.0917874396135265,Supply Chain & Logistics
Management Consulting,45%,536,1784,0.3004484304932735,Leadership & Strategy
Principal Consultant,45%,207,1899,0.1090047393364928,Leadership & Strategy
Senior Consultant,45%,207,1897,0.1091196626251976,Leadership & Strategy
Strategy Consultant,45%,207,1907,0.1085474567383324,Leadership & Strategy
Assistant Brand Manager,45%,833,2992,0.2784090909090909,Sales & Marketing
Assistant Marketing Manager,45%,841,3003,0.28005328005328,Sales & Marketing
Associate Brand Manager,45%,834,2991,0.2788365095285857,Sales & Marketing
Associate Marketing Manager,45%,834,2992,0.2787433155080214,Sales & Marketing
Brand Manager,45%,862,2975,0.2897478991596638,Sales & Marketing
Brand Marketing Manager,45%,862,2976,0.2896505376344086,Sales & Marketing
Director Of Digital Marketing,45%,847,2963,0.2858589267634154,Sales & Marketing
Director Of Marketing,45%,792,2879,0.2750955192775269,Sales & Marketing
Marketing,45%,863,3239,0.2664402593393022,Sales & Marketing
Marketing Account Executive,45%,860,3234,0.2659245516388373,Sales & Marketing
Marketing Account Manager,45%,866,3262,0.2654812998160638,Sales & Marketing
Marketing Director,45%,885,3293,0.2687518979653811,Sales & Marketing
Marketing Executive,45%,894,3311,0.2700090607067351,Sales & Marketing
Marketing Manager,45%,893,3300,0.2706060606060606,Sales & Marketing
Senior Marketing Manager,45%,226,2031,0.1112752338749384,Sales & Marketing
Social Media Marketing Manager,45%,256,2272,0.1126760563380281,Sales & Marketing
Agile Project Manager,45%,629,2096,0.3000954198473282,Leadership & Strategy
Director Of Product Management,45%,707,2321,0.3046100818612667,Leadership & Strategy
Pmo Analyst,45%,204,1871,0.1090326028861571,Data & IT
Product Development Manager,45%,226,1981,0.1140837960625946,Leadership & Strategy
Project Analyst,45%,207,1901,0.1088900578642819,Data & IT
Project Control Analyst,45%,200,1845,0.1084010840108401,Data & IT
Project Management Consultant,45%,213,1949,0.1092868137506413,Leadership & Strategy
Director Of Ecommerce,45%,821,2899,0.2832011038289065,Sales & Marketing
Ecommerce Manager,45%,904,3345,0.270254110612855,Sales & Marketing
Merchandise Buyer,45%,677,2544,0.2661163522012578,Sales & Marketing
Autocad Draftsman,45%,539,2297,0.2346538963865912,Construction
Concrete Pump Operator,45%,156,700,0.2228571428571428,Construction
Land Surveyor,45%,323,1531,0.2109732201175702,Construction
Claims Analyst,45%,732,2684,0.2727272727272727,Administrative & Clerical
Claims Investigator,45%,733,2717,0.2697828487302171,Law Enforcement
Insurance Appraiser,45%,394,1396,0.2822349570200573,Law Enforcement
Insurance Investigator,45%,406,1386,0.2929292929292929,Law Enforcement
Insurance Underwriter,45%,464,1553,0.2987765614938828,Law Enforcement
Band Director,45%,292,1241,0.2352941176470588,Communication & PR
Education Specialist,45%,462,1578,0.2927756653992395,Communication & PR
Environmental Educator,45%,410,1386,0.2958152958152958,Communication & PR
Training Manager,45%,238,2083,0.114258281325012,Leadership & Strategy
Book Reviewer,45%,602,2164,0.27818853974122,Communication & PR
Clinical Research,45%,599,1940,0.3087628865979381,Medical & Healthcare
Dietetic Technician,45%,374,1337,0.2797307404637247,Medical & Healthcare
Drug Safety Associate,45%,529,1667,0.3173365326934613,Medical & Healthcare
Formulation Scientist,45%,449,1551,0.2894906511927788,Medical & Healthcare
Healthcare Management,45%,505,1644,0.3071776155717761,Medical & Healthcare
Escrow Assistant,45%,461,1536,0.3001302083333333,Law Enforcement
Biomedical Technician,45%,514,2125,0.2418823529411764,Medical & Healthcare
Chemical Lab Technician,45%,503,2116,0.2377126654064272,Construction
Laboratory Technician,45%,425,1462,0.2906976744186046,Data & IT
Radiographer,45%,75,961,0.0780437044745057,Medical & Healthcare
Research Analyst,45%,199,1840,0.1081521739130434,Data & IT
Account Analyst,45%,623,2143,0.2907139524031731,Administrative & Clerical
Accounting Analyst,45%,619,2132,0.2903377110694184,Administrative & Clerical
Accounts Payable Analyst,45%,622,2145,0.2899766899766899,Administrative & Clerical
Billing Clerk,45%,621,2136,0.2907303370786517,Administrative & Clerical
Billing Coordinator,45%,620,2134,0.2905342080599812,Administrative & Clerical
Billing Representative,45%,619,2142,0.2889822595704948,Administrative & Clerical
Billing Specialist,45%,620,2135,0.2903981264637002,Administrative & Clerical
Billing Supervisor,45%,606,2100,0.2885714285714286,Administrative & Clerical
Finance Administrator,45%,563,1767,0.3186191284663271,Administrative & Clerical
Finance Assistant,45%,560,1762,0.3178206583427923,Administrative & Clerical
Finance Associate,45%,559,1758,0.3179749715585893,Administrative & Clerical
Finance Consultant,45%,561,1772,0.3165914221218961,Administrative & Clerical
Financial Assistant,45%,566,1763,0.3210436755530346,Administrative & Clerical
Financial Associate,45%,563,1755,0.3207977207977208,Administrative & Clerical
Financial Coordinator,45%,571,1820,0.3137362637362637,Administrative & Clerical
Financial Representative,45%,539,1715,0.3142857142857143,Administrative & Clerical
Financial Services Representative,45%,538,1714,0.3138856476079346,Administrative & Clerical
Loan Specialist,45%,485,1578,0.3073510773130545,Administrative & Clerical
Staff Auditor,45%,184,1848,0.0995670995670995,Administrative & Clerical
Tax Manager,45%,186,1880,0.0989361702127659,Administrative & Clerical
Valuation Analyst,45%,179,1633,0.1096142069810165,Data & IT
Clinical Coordinator,45%,690,2244,0.3074866310160428,Medical & Healthcare
Clinical Support Specialist,45%,592,1892,0.3128964059196617,Medical & Healthcare
Certified Welding Inspector,45%,105,477,0.220125786163522,Construction
Computer Technician,45%,475,1535,0.3094462540716612,Data & IT
General Maintenance Technician,45%,299,1114,0.2684021543985637,Construction
General Service Technician,45%,303,1118,0.2710196779964222,Construction
Industrial Maintenance Mechanic,45%,296,1171,0.2527754056362084,Construction
Industrial Maintenance Technician,45%,295,1170,0.2521367521367521,Construction
Service Advisor,45%,192,1798,0.1067853170189099,Leadership & Strategy
Cnc Machine Operator,45%,265,980,0.2704081632653061,Construction
Inventory Control Supervisor,45%,509,1635,0.3113149847094801,Supply Chain & Logistics
Manufacturing Associate,45%,317,1084,0.2924354243542435,Construction
Operator,45%,98,1180,0.0830508474576271,Construction
Order Selector,45%,116,1331,0.087152516904583,Supply Chain & Logistics
Scanner,45%,149,1537,0.0969420949902407,Data & IT
Pcb Design Engineer,45%,120,1161,0.1033591731266149,Construction
Pcb Designer,45%,120,1161,0.1033591731266149,Construction
Service Engineer,45%,157,1594,0.0984943538268506,Construction
Document Control Specialist,45%,542,1667,0.3251349730053989,Administrative & Clerical
Facility Coordinator,45%,465,1530,0.3039215686274509,Supply Chain & Logistics
Implementation Coordinator,45%,552,1760,0.3136363636363636,Data & IT
Medical Office Receptionist,45%,422,1434,0.2942817294281729,Medical & Healthcare
Medical Receptionist,45%,422,1434,0.2942817294281729,Medical & Healthcare
Regulatory Affairs Specialist,45%,197,1814,0.1085997794928335,Medical & Healthcare
Validation Specialist,45%,177,1761,0.100511073253833,Medical & Healthcare
Bus Driver,45%,80,426,0.1877934272300469,Supply Chain & Logistics
Bus Operator,45%,80,426,0.1877934272300469,Supply Chain & Logistics
Class A CDL,45%,81,437,0.1853546910755149,Supply Chain & Logistics
Company Driver,45%,122,552,0.2210144927536232,Supply Chain & Logistics
Flatbed Driver,45%,123,556,0.2212230215827338,Supply Chain & Logistics
Local Cdl,45%,124,547,0.226691042047532,Supply Chain & Logistics
Local Delivery Driver,45%,130,567,0.2292768959435626,Supply Chain & Logistics
Local Truck Driver,45%,128,566,0.2261484098939929,Supply Chain & Logistics
Otr Driver,45%,27,184,0.1467391304347826,Supply Chain & Logistics
Owner Operator,45%,46,468,0.0982905982905982,Supply Chain & Logistics
Parts Delivery Driver,45%,27,183,0.1475409836065573,Supply Chain & Logistics
Pizza Delivery Driver,45%,26,181,0.143646408839779,Supply Chain & Logistics
School Bus Driver,45%,25,180,0.1388888888888889,Supply Chain & Logistics
Tanker Driver,45%,28,185,0.1513513513513513,Supply Chain & Logistics
Truck Driver,45%,29,189,0.1534391534391534,Supply Chain & Logistics
Trucker,45%,28,185,0.1513513513513513,Supply Chain & Logistics
Casino Manager,45%,463,1765,0.2623229461756374,Hospitality
Dietary Manager,45%,390,1405,0.2775800711743772,Hospitality
Food Production Manager,45%,421,1428,0.2948179271708683,Hospitality
Gate Agent,45%,331,1172,0.2824232081911262,Hospitality
Hostess,45%,276,995,0.2773869346733668,Hospitality
Hotel Front Desk,45%,381,1361,0.2799412196914034,Hospitality
Hotel Receptionist,45%,381,1359,0.2803532008830022,Hospitality
Pediatric Oncology Nurse,45%,372,1324,0.2809667673716012,Medical & Healthcare
Chief Investment Officer,45%,528,1845,0.2861788617886179,Leadership & Strategy
Nurse Practitioner,45%,365,1268,0.2878548895899053,Medical & Healthcare
Audio Technician,45%,463,2059,0.2248664400194269,Data & IT
Devops Engineer,45%,552,2063,0.2675714978187106,Data & IT
Tax Director,45%,542,1943,0.2789500772002058,Administrative & Clerical
Clinical Nurse Manager,45%,536,1924,0.2785862785862786,Medical & Healthcare
Disability Case Manager,45%,722,2376,0.3038720538720538,Medical & Healthcare
Insurance Sales Manager,45%,622,2122,0.293119698397738,Sales & Marketing
Medical Practice Manager,45%,609,2055,0.2963503649635036,Medical & Healthcare
Medical Records Specialist,45%,646,2161,0.2989356779268857,Medical & Healthcare
Content Developer,45%,791,3082,0.2566515249837767,Communication & PR
Corporate Trainer,45%,627,2127,0.2947813822284908,Leadership & Strategy
Customer Account Manager,45%,756,2300,0.328695652173913,Sales & Marketing
Division Order Analyst,45%,626,1831,0.3418896777717094,Administrative & Clerical
Inventory Analyst,45%,806,2656,0.3034638554216867,Supply Chain & Logistics
Lot Attendant,45%,230,837,0.2747909199522103,Hospitality
Operation Specialist,45%,871,2745,0.317304189435337,Supply Chain & Logistics
Peoplesoft Consultant,45%,688,2148,0.3202979515828678,Leadership & Strategy
Process Analyst,45%,708,2107,0.3360227812055054,Data & IT
Process Improvement Engineer,45%,669,2022,0.330860534124629,Construction
Procurement Analyst,45%,690,2048,0.3369140625,Supply Chain & Logistics
Social Media Strategist,45%,997,3490,0.2856733524355301,Sales & Marketing
Strategic Sourcing Manager,45%,669,2165,0.3090069284064665,Supply Chain & Logistics
Advertising Sales Representative,45%,817,2532,0.3226698262243286,Sales & Marketing
Business Development Representative,45%,957,2881,0.3321763276640055,Sales & Marketing
Field Sales Representative,45%,695,2258,0.3077945084145261,Sales & Marketing
Field Service Representative,45%,622,1903,0.3268523384130321,Sales & Marketing
Group Sales Manager,45%,795,2555,0.3111545988258317,Sales & Marketing
Independent Sales Representative,45%,508,1461,0.3477070499657768,Sales & Marketing
Medical Sales,45%,554,1580,0.350632911392405,Sales & Marketing
Outside Sales,45%,727,2260,0.3216814159292035,Sales & Marketing
Regional Sales Executive,45%,743,2270,0.3273127753303965,Sales & Marketing
Retail Sales Representative,45%,674,2203,0.3059464366772583,Sales & Marketing
Route Sales Representative,45%,485,1626,0.2982779827798278,Sales & Marketing
Sales Administrator,45%,632,2117,0.2985356636750118,Sales & Marketing
Sales Advisor,45%,717,2230,0.32152466367713,Sales & Marketing
Sales Representative,45%,736,2273,0.3238011438627364,Sales & Marketing
Assistant Nurse Manager,45%,476,1541,0.308890330953926,Medical & Healthcare
Certified Nurse Assistant,45%,457,1486,0.3075370121130552,Medical & Healthcare
Graduate Nurse,45%,261,664,0.3930722891566265,Medical & Healthcare
Neonatal Nurse,45%,298,892,0.3340807174887892,Medical & Healthcare
Nurse Assistant,45%,321,931,0.3447905477980666,Medical & Healthcare
Pediatric Nurse,44%,246,964,0.2551867219917012,Medical & Healthcare
Field Service Technician,43%,581,1682,0.3454221165279429,Construction
Regulatory Affairs Associate,43%,614,1879,0.3267695582756785,Administrative & Clerical
Aeronautical Engineer,43%,415,1405,0.295373665480427,Construction
Agricultural Engineer,43%,449,1471,0.3052345343303875,Construction
Antenna Engineer,43%,419,1393,0.3007896625987078,Construction
Avionics Engineer,42%,431,1418,0.3039492242595205,Construction
Cfd Engineer,42%,384,1169,0.3284858853721129,Construction
Electrical Design Engineer,42%,420,1212,0.3465346534653465,Construction
Electrical Designer,42%,415,1217,0.3410024650780608,Construction
Electronics Engineer,42%,412,1132,0.3639575971731448,Construction
Fea Engineer,42%,384,1080,0.3555555555555555,Construction
Hvac Design Engineer,41%,424,1631,0.2599632127529123,Construction
Lobby Attendant,40%,233,841,0.2770511296076099,Hospitality
Night Auditor,40%,469,1428,0.3284313725490196,Hospitality
Reservation Agent,40%,476,1597,0.2980588603631809,Hospitality
Restaurant Operations Manager,40%,386,1428,0.2703081232492997,Hospitality
Restaurant Server,40%,226,963,0.2346832814122533,Hospitality
Room Attendant,40%,258,959,0.2690302398331595,Hospitality
Room Service Server,40%,203,842,0.2410926365795724,Hospitality
Travel Agent,40%,575,2145,0.2680652680652681,Hospitality
Travel Counselor,40%,565,2101,0.2689195621132794,Hospitality
Travel Specialist,40%,566,2071,0.2732979237083534,Hospitality
Decorator,40%,616,2386,0.2581726739312657,Construction
Youth Development Specialist,40%,475,1830,0.2595628415300546,Communication & PR
Armed Guard,40%,223,1030,0.216504854368932,Law Enforcement
Armed Security,40%,233,1050,0.2219047619047619,Law Enforcement
Bodyguard,40%,229,1115,0.2053811659192825,Law Enforcement
Crime Analyst,40%,637,1979,0.3218797372410308,Law Enforcement
Intelligence Officer,40%,530,1542,0.3437094682230869,Law Enforcement
Loss Prevention,40%,457,1439,0.3175816539263377,Law Enforcement
Personnel Security Specialist,40%,511,1730,0.2953757225433526,Law Enforcement
Privacy Officer,40%,500,1687,0.2963841138114997,Law Enforcement
Public Affairs Specialist,40%,647,2271,0.2848965213562307,Communication & PR
Safety Assistant,40%,395,1446,0.2731673582295988,Law Enforcement
Bi Analyst,40%,815,2531,0.3220071118135124,Data & IT
Citrix Engineer,40%,499,1325,0.3766037735849056,Construction
Desktop Support,40%,658,1981,0.3321554770318021,Data & IT
Desktop Support Specialist,40%,661,1982,0.3335015136226034,Data & IT
Help Desk Specialist,40%,843,2600,0.3242307692307692,Data & IT
It Architect,40%,772,2297,0.3360905528950805,Data & IT
It Support,40%,830,2540,0.326771653543307,Data & IT
It Support Analyst,40%,824,2533,0.3253059613106988,Data & IT
Junior Systems Administrator,40%,801,2493,0.3212996389891697,Data & IT
Network Architect,40%,778,2346,0.3316283034953112,Data & IT
Network Specialist,40%,814,2537,0.3208513992905006,Data & IT
Network Support Technician,40%,806,2527,0.3189552829442026,Data & IT
Performance Tester,40%,612,1933,0.3166063114330057,Data & IT
Sap Administrator,40%,671,2130,0.3150234741784037,Data & IT
Sap Security Consultant,40%,689,2156,0.3195732838589981,Data & IT
Senior Network Engineer,40%,609,1807,0.3370226895406751,Data & IT
Service Desk Analyst,40%,772,2319,0.3329021129797326,Data & IT
Sharepoint Consultant,40%,734,2255,0.3254988913525499,Data & IT
Solutions Architect,40%,774,2301,0.3363754889178618,Data & IT
Systems Architect,40%,520,1914,0.2716823406478579,Data & IT
Tech Support,40%,636,2458,0.258746948738812,Data & IT
Technology Coordinator,40%,656,2506,0.2617717478052673,Data & IT
Telecommunications Analyst,40%,554,2270,0.2440528634361233,Data & IT
Unloader,40%,278,1128,0.2464539007092198,Supply Chain & Logistics
Warehouse Operator,40%,319,1227,0.2599837000814995,Supply Chain & Logistics
Business Consultant,40%,997,2969,0.3358033007746716,Leadership & Strategy
Process Improvement Specialist,40%,795,2413,0.3294653957728968,Leadership & Strategy
Professional Services Consultant,40%,805,2344,0.3434300341296928,Leadership & Strategy
Solutions Consultant,40%,836,2528,0.3306962025316455,Leadership & Strategy
Strategic Consultant,40%,629,2098,0.2998093422306959,Leadership & Strategy
Call Center,40%,1064,3265,0.3258805513016845,Communication & PR
Circulation Manager,40%,633,1823,0.3472298409215579,Communication & PR
Market Analyst,40%,1044,3370,0.3097922848664688,Sales & Marketing
Market Research Analyst,40%,1046,3372,0.3102016607354685,Sales & Marketing
Market Researcher,40%,1037,3356,0.3089988081048868,Sales & Marketing
Marketing Analyst,40%,1029,3263,0.3153539687404229,Sales & Marketing
Marketing Research Analyst,40%,1009,3220,0.3133540372670807,Sales & Marketing
Media Buyer,40%,857,2906,0.2949070887818307,Sales & Marketing
Unit Coordinator,40%,564,1968,0.2865853658536585,Medical & Healthcare
Architectural Project Manager,40%,795,2482,0.3203062046736503,Construction
Assistant Product Manager,40%,853,2632,0.3240881458966565,Sales & Marketing
Associate Project Manager,40%,861,2753,0.3127497275699237,Leadership & Strategy
It Project Coordinator,40%,872,2890,0.3017301038062284,Data & IT
Junior Project Manager,40%,844,2792,0.3022922636103152,Leadership & Strategy
Product Developer,40%,715,2633,0.2715533611849601,Sales & Marketing
Project Administrator,40%,636,1972,0.3225152129817444,Administrative & Clerical
Project Coordinator,40%,683,2074,0.3293153326904532,Leadership & Strategy
Project Director,40%,613,1953,0.3138760880696364,Leadership & Strategy
Project Management Assistant,40%,621,1886,0.3292682926829268,Administrative & Clerical
Project Officer,40%,590,1833,0.3218767048554282,Leadership & Strategy
Project Scheduler,40%,585,1840,0.3179347826086957,Leadership & Strategy
Project Supervisor,40%,615,1963,0.3132959755476311,Leadership & Strategy
Courtesy Clerk,40%,218,744,0.293010752688172,Administrative & Clerical
Deli Clerk,40%,249,755,0.3298013245033112,Administrative & Clerical
Floor Supervisor,40%,450,1446,0.3112033195020747,Leadership & Strategy
Merchandise Coordinator,40%,804,2897,0.2775284777355885,Sales & Marketing
Autocad Designer,40%,663,2463,0.269183922046285,Data & IT
Civil Drafter,40%,373,1098,0.3397085610200364,Construction
Dozer Operator,40%,68,280,0.2428571428571428,Construction
Electrical Project Manager,40%,510,1446,0.3526970954356846,Construction
Estimator,40%,648,2029,0.3193691473632331,Construction
Heavy Equipment Mechanic,40%,242,924,0.2619047619047619,Construction
Independent Contractor,40%,522,1454,0.359009628610729,Leadership & Strategy
Installation Coordinator,40%,588,1814,0.3241455347298787,Construction
Pipeline Controller,40%,306,1154,0.2651646447140381,Construction
Shop Foreman,40%,307,1152,0.2664930555555556,Construction
Claim Analyst,40%,590,1927,0.3061754021795537,Law Enforcement
Claim Examiner,40%,579,1913,0.3026659696811291,Law Enforcement
Claims,40%,557,1738,0.3204833141542002,Law Enforcement
Claims Adjuster,40%,588,1919,0.3064095883272538,Law Enforcement
Claims Supervisor,40%,600,1988,0.3018108651911468,Law Enforcement
Insurance Clerk,40%,463,1446,0.3201936376210235,Law Enforcement
Netsuite Consultant,40%,730,2157,0.3384330088085304,Data & IT
Php Developer,40%,566,2178,0.2598714416896235,Data & IT
Php Web Developer,40%,568,2182,0.2603116406966086,Data & IT
Sap Abap Developer,40%,615,1838,0.3346028291621327,Data & IT
Software Trainer,40%,800,2642,0.3028009084027252,Data & IT
Bi Developer,40%,822,2530,0.324901185770751,Data & IT
Business Developer,40%,984,2898,0.3395445134575569,Sales & Marketing
Business Objects Developer,40%,871,2669,0.3263394529786437,Data & IT
Cost Analyst,40%,680,1864,0.3648068669527897,Administrative & Clerical
Erp Analyst,40%,648,1730,0.3745664739884393,Data & IT
Field Investigator,40%,628,1840,0.3413043478260869,Law Enforcement
Fraud Analyst,40%,711,2184,0.3255494505494505,Law Enforcement
Junior Financial Analyst,40%,792,2669,0.2967403521918321,Administrative & Clerical
Loss Prevention Detective,40%,415,1381,0.3005068790731354,Law Enforcement
Patent Analyst,40%,561,1813,0.3094318808604523,Data & IT
Planning Analyst,40%,598,1872,0.3194444444444444,Administrative & Clerical
Clinical Data Associate,40%,862,2525,0.3413861386138614,Medical & Healthcare
Clinical Data Coordinator,40%,859,2499,0.3437374949979992,Medical & Healthcare
Cloud Consultant,40%,772,2262,0.3412908930150309,Data & IT
Data Center Manager,40%,816,2382,0.3425692695214106,Data & IT
Data Specialist,40%,795,2343,0.3393085787451985,Data & IT
Database Manager,40%,761,2088,0.364463601532567,Data & IT
Gis Specialist,40%,701,2197,0.3190714610832954,Data & IT
Marketing Data Analyst,40%,1027,3220,0.3189440993788819,Sales & Marketing
Oracle Consultant,40%,716,2140,0.3345794392523364,Data & IT
Server Engineer,40%,566,1757,0.3221400113830392,Data & IT
Ui Designer,40%,691,2693,0.2565911622725584,Data & IT
User Interface Designer,40%,686,2633,0.2605393087732624,Data & IT
Web Designer,40%,667,2649,0.2517931294828237,Data & IT
Compensation Specialist,40%,723,2180,0.3316513761467889,Administrative & Clerical
Hr Analyst,40%,776,2352,0.3299319727891156,Administrative & Clerical
Payroll Administrator,40%,587,1971,0.297818366311517,Administrative & Clerical
Placement Coordinator,40%,566,1772,0.3194130925507901,Administrative & Clerical
Public Relations,40%,734,2691,0.272761055369751,Communication & PR
Recruiting Assistant,40%,611,2013,0.3035270740188773,Administrative & Clerical
Recruiting Coordinator,40%,613,2010,0.3049751243781095,Administrative & Clerical
Recruitment Manager,40%,643,2048,0.31396484375,Leadership & Strategy
Sales Recruiter,40%,606,1842,0.3289902280130293,Sales & Marketing
Staffing Consultant,40%,678,2192,0.3093065693430657,Administrative & Clerical
Staffing Coordinator,40%,684,2278,0.3002633889376646,Administrative & Clerical
Staffing Manager,40%,682,2269,0.3005729396209784,Leadership & Strategy
Staffing Specialist,40%,685,2281,0.3003068829460762,Administrative & Clerical
